
#######################
###20130508 09:24:56###
#######################
  [ 2013-05-08T09:24:56+00:00 ]    UNKNOW:   mysql_select_db() expects parameter 2 to be resource, null given
  [ 2013-05-08T09:24:56+00:00 ]    UNKNOW:   mysql_errno() expects parameter 1 to be resource, null given
  [ 2013-05-08T09:24:56+00:00 ]    UNKNOW:   mysql_error() expects parameter 1 to be resource, null given

#######################
###20130508 09:25:21###
#######################
  [ 2013-05-08T09:25:21+00:00 ]    UNKNOW:   mysql_select_db() expects parameter 2 to be resource, null given
  [ 2013-05-08T09:25:21+00:00 ]    UNKNOW:   mysql_errno() expects parameter 1 to be resource, null given
  [ 2013-05-08T09:25:21+00:00 ]    UNKNOW:   mysql_error() expects parameter 1 to be resource, null given

#######################
###20130508 09:25:56###
#######################
  [ 2013-05-08T09:25:56+00:00 ]    UNKNOW:   mysql_select_db() expects parameter 2 to be resource, null given
  [ 2013-05-08T09:25:56+00:00 ]    UNKNOW:   mysql_errno() expects parameter 1 to be resource, null given
  [ 2013-05-08T09:25:56+00:00 ]    UNKNOW:   mysql_error() expects parameter 1 to be resource, null given
